question,answer
"QUESTION: <p>Sorry I didn&#39;t find the assignment on my gradescope. Where can I find it?</p>
","ANSWER: <p>Have you joined the class on gradescope? If not, you can join it with the entry code <strong>E7VVGZ</strong></p>
"
"QUESTION: <p>Dear teacher, I would like to know where there is a specific topic for the first assignment. There is only a page for assignment submission in gradescope.</p>
","ANSWER: <p>If you are looking for information on content that may be helpful in solving the problems, check out the lecture notes found here: https://www.cis.upenn.edu/~cis1600/current/lectures.html</p>
"
"QUESTION: <p>When filling out the truth table, do we have to show the process of how we got to either T or F or can we just write in T or F?</p>
","ANSWER: <p>you can just write in T or F</p>
"
"QUESTION: <p>Hi! </p>
<p></p>
<p>At the top of the document it says that we should show all work. Question 1 specifies no work is needed. However, for question 2 I wasn&#39;t too sure how to show work as its a table with values within the table. Therefore, I was slightly confused on how to show work. Could you please provide some insight?</p>
<p></p>
<p>Thank you!</p>
","ANSWER: <p>no need to show work for question 2. You can just fill in the values in the truth table.</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7ga3way2da7hz%2F32265e6c6aa4a80a7910d982a70aaa71177824a819082f15091f64bfabe31573%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>The actual text should be outside of math mode. Here is a simple analogous example:</p>
<p></p>
<pre>
Thus, $p \land q$ is true.</pre>
"
"QUESTION: <p>For question 1d, I am a little confused on the wording. Is the students all wanting to learn how to make pasta also sufficient for &#34;the CIS 1600 TAs do not all make ravioli&#34; or is that outside of the sufficiency claim. </p>
","ANSWER: It is not outside the sufficiency claim
"
"QUESTION: <p>When the questions ask us to count the number of unique earring pairs, are earrings allowed to differ in pattern within the same pair, and if so, is there a distinction between left and right earrings?</p>
","ANSWER: No. The left and right earring are the same pattern within each pair.
"
"QUESTION: <p>The wording of the question says: &#34;scissors until a winner emerges to decide who gets to enter the restaurant first. The winner of the match can then enter the restaurant,&#34;</p>
<p></p>
<p>Does this mean that the winner will go into the restaurant and therefore isn&#39;t &#39;deciding&#39; per-say but is automatically assumed to be going inside the restaurant?</p>
","ANSWER: Yeah. The winner automatically goes into the restaurant 
"
"QUESTION: <p>Among the 1600 noodles, is each noodle of different integer length? Also if two noodles are of the same length, is Saurabh-violi allowed to pick them to throw away since they do not have a positive difference?</p>
","ANSWER: Yes. Each noodle is a different integer length.
"
"QUESTION: <p>When using the homework LaTeX template, am I allowed to insert page breaks between the question items to make paging easier during submission?</p>
","ANSWER: <p>sure</p>
"
"QUESTION: <p>To clarify,</p>
<p></p>
<p>1) The 7 grains are 7 out of the 350 correct?</p>
<p>2) Can there be repetitions of the pasta? (i.e. are there 350 pieces or is it like 350 grains so it can be 7 of the same kinds of pasta counts as 1 unique earring pair</p>
","ANSWER: <p>1) Yes.</p>
<p>2) Yes, there can be repetitions.</p>
"
"QUESTION: <p>what do you mean by set builder notation in 1b?</p>
","ANSWER: <p>Examples of set builder notation are the sets in 1a. So your answers to 1b should be of similar form to the sets provided to you in the question of 1a.</p>
"
"QUESTION: <p>Are we allowed to use induction to justify our answers to the problems on HW1H, even though we haven&#39;t coverd induction yet in class?</p>
","ANSWER: <p>you must prove anything that you choose to use that was not covered in class. So that would mean you would have to prove induction (which doesn&#39;t sound fun). So I would encourage avoiding induction for this problem set.</p>
"
"QUESTION: 
","ANSWER: <p>yes</p>
"
"QUESTION: <p>hi im just a little bit confused on the difference between the set &#39;belongs to&#39; another set and the set is a &#39;subset&#39; of another set</p>
<p></p>
<p>so the &#39;belongs to&#39; for a set is only referring to one element and whether that element is present in the set,</p>
<p></p>
<p>while for the &#39;subset&#39; part it is when you consider a whole set and see if that whole set is within another set?</p>
<p></p>
<p></p>
","ANSWER: <p>Your definition for &#34;belongs to&#34; is correct.</p>
<p></p>
<p>One way of thinking about &#34;subset&#34; is &#34;A is a subset of B if every element of A is also an element of B&#34;. So for example, if $$A = \{1, 2\}$$ and $$B = \{1, 2, 3\}$$, then $$A \subseteq B$$, because every element of A is also an element of B. But if $$A = \{1, 4\}$$ and $$B = \{1, 2, 3\}$$ then $$A \nsubseteq B$$</p>
"
"QUESTION: <p>for 1a iii can x y and z be the same number</p>
","ANSWER: <p>yeah</p>
"
"QUESTION: <p>In Problem 2, when it asks &#34;how many unique earring <strong>pairs,</strong>&#34; do the two earrings in the pair have to be the same, or can the two earrings be different?</p>
","ANSWER: <p>The two earrings within the pair are the same.</p>
"
"QUESTION: <p>How many forks does Ria-tini need at the end? Does she want to pick out exactly the one faulty fork? Or does she just need at least one working fork?</p>
<p></p>
<p>For example, if at 8:59 I have some TA whose fingers all fall off, can I just throw away all the forks that TA ate with and say I&#39;m done?</p>
","ANSWER: <p>You can just think of it as that she needs to detect the faulty fork at that time.</p>
"
"QUESTION: <p>Would 1 be a prime number? I would hate to get the question wrong on a technicality.</p>
","ANSWER: It’s not prime
"
"QUESTION: <p>For the purposes of this class, is 0 considered a positive integer? </p>
","ANSWER: 0 is non-positive and non-negative
"
"QUESTION: <p>how to you make a new line in latex</p>
","ANSWER: \\
"
"QUESTION: Does each earring have 7 grains, with the pair therefore having 14? Also, the 7 grains on each earring do not necessarily have to be unique, do they? Thanks.
","ANSWER: The two earrings in the pair are identical
"
"QUESTION: <p>Hi,</p>
<p></p>
<p>For question 7 are we only allowed to discard the faulty fork or can we discard a group of forks that has the faulty fork in it?</p>
<p></p>
<p>Thanks!</p>
","ANSWER: You have to successfully identify the faulty fork
"
"QUESTION: <p>Are we allowed to assume basic parity laws (even number &#43; even number = even number, even number - even number = even number, etc.) or do we have to prove these as well if we chose to invoke these in our solution?</p>
","ANSWER: <p>Unless otherwise stated, you must prove anything not proven in lecture, recitation or HW.</p>
"
"QUESTION: <p>Is there a separate website for OHQ? Not sure how to access...</p>
","ANSWER: ohq.io, and then you can join the class
"
"QUESTION: <p>For question 7 in HW1H, will TAs still lose their fingers if they eat with the bad fork after 8:59? Or is there one check (at 8:59) to see if a TA ate with a bad fork?</p>
","ANSWER: <p>I think the time is a fun detail in the problem that is not essential to solving it.</p>
"
"QUESTION: <p>Currently, I&#39;m trying to explore possible ways to solve this question with the 2^9 = 512 hint in mind. </p>
<p></p>
<p>One avenue is powerset (P(S) with cardinality defined as 2^n), though I&#39;m not sure what using that would mean. The subsets would be all the possible combinations of elements in S. I thought about setting up the nine TAs as the nine elements, but that doesn&#39;t seem particularly useful.</p>
<p></p>
<p>The other option I&#39;m juggling at the moment is more of a Step 1, Step 2, etc. based approach like the one we saw in lecture on Thursday. I originally thought of constructing a binary tree (9 rounds and two options per round - faulty fork or no faulty fork which would&#39;ve come out to 512 total permutations). I quickly realized this also makes no sense (it&#39;s redundant - why do the 8 other TAs need to check the fork if TA #1 already determined its status?). </p>
<p></p>
<p>Am I missing something here or am I assuming something wrong with my current two approaches? </p>
","ANSWER: For questions like this, we encourage you to attend office hours to have a better conversation with a TA one-on-one!
"
"QUESTION: <p>for 5) is the way chef chooses the noodles random</p>
","ANSWER: Unfortunately, we do not know what goes inside the mind of Saurabh.<div><br /></div><div>In other words, since the question is essentially asking if it is possible to get to a noodle of length 1, the randomness doesn’t really play much of a role (because you are considering all possible sequences of noodle selections that Saurabh can make). Hope this makes sense. If not, follow up, and I’ll be happy to try to further clarify.</div>
"
"QUESTION: <p>For question 2, can one shape show up on an earring more than one time? or are all of the shapes unique?</p>
","ANSWER: The pasta can repeat.
"
"QUESTION: <p>for 5) does the chef prioritize pastas that have not been chosen first</p>
","ANSWER: No
"
"QUESTION: <p>For question 7, does the fork testing end once? ie when the TAs are testing the forks, they won&#39;t know whether they&#39;ve used the faulty fork until 8:59am, and does this limit the number of forks each can test to be sure?</p>
","ANSWER: Yes, they will not know whether they’ve used the faulty fork until 8:59. But there is no limit to the number of forks a TA can use.
"
"QUESTION: <p>Can we use theorems that were proven in class such as: If m and n are integers and m ≤ n, then there are n − m &#43; 1 integers from m to n inclusive.</p>
","ANSWER: <p>yes</p>
"
"QUESTION: <p>Can I use the fact that &#34;if $$X\subseteq Y$$ and $$Y\subseteq X$$ then $$X=Y$$&#34; without proof?</p>
<p></p>
<p>Edit: This is for homework 2T, not 1H</p>
","ANSWER: <p>Yeah. We&#39;ll be covering this fact in lecture probably on Tuesday, so you can use it without proof.</p>
"
"QUESTION: <p>Is | x | in this question referring to the cardinality of x or the absolute value of x?</p>
<p></p>
<p>Thanks!</p>
","ANSWER: <p>cardinality</p>
"
"QUESTION: <p>I am posting this just to instructors since I do not want to give away the answer.</p>
<p></p>
<p>How is it possible for a nonset to have cardinality? If the only element of the empty set is nothing then how can you even calculate the cardinality of nothing since nothing isn&#39;t even a set?</p>
","ANSWER: <p>Yes, we can only take cardinality of sets. Use that fact in conjunction with the other information you know about $$x$$ to come up with an answer! you seem to have a lot of the facts nailed down. It&#39;s just about piecing them together, and for that, use the fact that we only take cardinality of sets.</p>
"
"QUESTION: <p>I am using quotation marks in my answer but one of them is facing the wrong direction:</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7gbcpu0x18298%2Fd588f1b000f2f21fe488014757912faa8e46d3eab2ef5e1259ea17814741bf2f%2FScreen_Shot_2022-09-05_at_2.45.40_PM.png"" alt=""Screen_Shot_2022-09-05_at_2.45.40_PM.png"" /></p>
<p>Here&#39;s my LaTex:</p>
<pre>
&#34;$i-j$ is even&#34;</pre>
<p>It&#39;s not a big deal but how do I get it to face the right way</p>
","ANSWER: <p>You can use tick marks (which is the button to the left of the 1 key on a standard keyboard) for the left quotations. Something like this:</p>
<p></p>
<pre>
`` Hi I&#39;m Ishaan&#34;</pre>
"
"QUESTION: <p>For problem 2, when I use multiplication rule, do I have to write out all the steps explicitly or can I imply the steps by writing out step 1 and saying etc.? (at the end I do multiplication rule normally with all the outcomes)</p>
","ANSWER: <p>You can &#34;imply&#34; the steps. But a brief justification of why you are making that implication would be nice.</p>
"
"QUESTION: <p>If we denote set A = all earring pairs, set B = earring pairs only consisting of non-favorite types of pasta, and set C = earring pairs that contain at least one favorite type of pasta</p>
<p>Can the statement |A| = |B| &#43; |C| be treated as an axiom?</p>
","ANSWER: <p>A very short (like one sentence) justification of why that&#39;s true would be nice for you to include.</p>
"
"QUESTION: <p>I don&#39;t quite understand how we&#39;re supposed to identify the faulty fork individually... Do the TAs know immediately if they have eaten with the faulty fork? Or do they have to wait until 8:59 to know whether a fork they ate with was faulty? Is this question just asking about the most efficient way to iterate through the 509 forks with the TAs?</p>
","ANSWER: <p>The TA(s) who have eaten with the faulty fork will only know they have eaten with it at 8:59. The question is not asking you to find the most efficient way. You just need to come up with a way to successfully identify the faulty fork for certain.</p>
"
"QUESTION: <p>For Q3, can we use a tree diagram to explain how many ways there are to enter the restaurant?</p>
","ANSWER: <p>A tree diagram alone will not provide full explanation. So if you choose to include one, you should also include a verbal explanation of what the tree diagram is depicting and argue why it is correct.</p>
"
"QUESTION: Can someone clarify what question 6 is asking? Because if the dishes are just alternating, this question seems too easy
","ANSWER: <p>The discussion at @17_f47 may be helpful. But the question is correct as worded. You need to count the total amount of dishes that Chef Brian put out given the constraints above. Feel free to attend office hours to verbally talk through your concerns to a TA!</p>
"
"QUESTION: <p>For example, could I describe a set as { <strong>3x/x^3</strong> | 5 &lt; x &lt; 10 } . This is a random example, just want to make sure it doesn&#39;t need to be {<strong>x</strong> | 5 &lt; x &lt; 10}. </p>
","ANSWER: <p>yeah that&#39;s fine</p>
"
"QUESTION: <p>When the question asks, &#34;How many unique earring pairs can the Master of Linguine create?&#34;, does that assume that a pair of earrings are identical, or can  two earrings in a pair be different?</p>
","ANSWER: <p>Two earrings within a pair are identical.</p>
"
"QUESTION: <p>For question 5, is it possible for him to make a noodle of length 0 if he picks 2 noodles of the same length (one being an original value from 1-1600 and the other being a noodle with equivalent length made from the positive difference of two noodles)?</p>
","ANSWER: <p>@17_f6</p>
"
"QUESTION: <p>How much do we need to simplify answers? for example is it OK if I leave an answer as 500^7 or (3 * 5 * 50^7) or do I need to write out the actual final answer as a number?</p>
","ANSWER: <p>leaving it in those unsimplified forms is fine</p>
"
"QUESTION: <p>Is the hint in question 7 necessary to answer the problem? I don&#39;t see how it is relevant to the solution.</p>
","ANSWER: <p>There may be multiple different solutions for question 7, and not all of them will use the hint. If you think your solution is correct and your solution does not use the hint, this does not mean that your solution is incorrect.</p>
"
"QUESTION: <p>Does Chef Brian randomly select the two noodles, or can he choose which two specific noodles to select? And, if he does choose the two noodles each time, can we just prove that he can achieve the final length of one using some specific instructions?</p>
","ANSWER: <p><span style=""text-decoration:line-through"">He can choose which two specific noodles to select. Yes to your second question.</span></p>
<p><span style=""text-decoration:line-through""></span></p>
<p>EDIT: You should not assume that he follows a specific set of instructions. The discussions in @17_f29 and @17_f37 may be of interest.</p>
"
"QUESTION: <p>We can have multiple correct set builder notations that all work for each question, right? </p>
","ANSWER: <p>There may be multiple correct answers to the parts of 1b. You can submit any one of the correct answers to get credit.</p>
"
"QUESTION: <p>In the Lecture example: &#34;How many odd numbers between 1000 and 9999 have distinct digits?&#34; </p>
<p>why does the multiplication rule still apply? For example, the number of ways performing step 4 depends upon whether a zero was chosen in the earlier steps.</p>
<p></p>
<p>Also in the president, secretary, treasurer question, the solution says multiplication rule does not apply because outcome of prior step changes later # outcomes. What&#39;s the logic that distinguishes the approaches to these two questions? </p>
<p></p>
<p>Is it that in a question in which there are multiple ways of performing the steps, only one sequence of steps allows multiplication rule to be applied and other sequences of events do not? thank you.</p>
","ANSWER: <p>Note that only Attempt 3 shows a correct solution for the &#34;odd numbers&#34; question. In that attempt, we can see that we will not select the number zero in steps 1 and 2. Only the second digit and the third digit can be zeroes, which is why they are placed last in our ordering of steps. But these steps also acknowledge the fact that, for example, the second digit cannot be the same as the first or fourth digit (whose digits have already been chosen), which is why there are 10 - 2 = 8 ways to perform step 3. And similar logic holds for step 4.</p>
<p></p>
<p>I&#39;m not sure I completely understand your second question, but I&#39;ll try my best to give some information that may clear things up. Steps within your process that you develop for counting CAN depend on each other, but we can only perform MR when each step has a CONSTANT number of ways of being performed. For example, in attempt 1 of the &#34;secretary&#34; question, the third step can be performed in 2 ways if, for example, Bob is President and Ann is Treasurer, 1 way if, for example, Bob is president and Clyde is secretary, or 0 ways if, for example, Clyde is president and Dan is secretary. Since this is NOT a constant value, the MR can&#39;t really be used.</p>
<p></p>
<p>Whereas, in attempt 2, since we chose the secretary first, the remaining two steps always have the same constant number of people to choose from.</p>
<p></p>
<p>For your last question, no. There can be many ways of ordering the steps. You just need to be sure that the ordering of the steps meets the above rule of that constant value for each step.</p>
<p></p>
<p>hope that made a bit of sense!</p>
<p></p>
<p></p>
"
"QUESTION: <p><strong>What does two stripes that have the same color cannot share a long edge means?</strong></p>
","ANSWER: <p>You cannot have two adjacent stripes with the same color IF they share a long edge. Each stripe is a rectangle, and &#34;long edge&#34; refers to the long side of the rectangle.</p>
"
"QUESTION: <p>For all the questions that require justification is just a verbal explanation sufficient for justification? Or do we need mathematical proofs, diagrams, etc?</p>
","ANSWER: <p>Any sort of proof/justification is allowed as long as it is both logically and mathematically sound and correct.</p>
"
"QUESTION: <p>Is explanation needed and partial credit given for questions 4, 6, 3, 1, and 2 or is it just final answers?</p>
","ANSWER: <p>You do not need to give explanation for Q1. For all other questions, you must provide explanation/justification unless otherwise mentioned. </p>
<p></p>
<p>We cannot speak as to how our rubrics for grading are set up.</p>
"
"QUESTION: <p>When we submit a latex document, do we have to first convert it into a pdf file and then submit it on gradescope? thanks.</p>
","ANSWER: <p>Yes. You should download it as a pdf from overleaf, and submit that pdf to gradescope.</p>
"
"QUESTION: 
","ANSWER: <p>maybe think about what is so special about $$2^9$$ -- both the actual numeric value (in context of the problem) and its potential semantic meaning.</p>
"
"QUESTION: <p>I have a question about set builder notation. <br /><br />Is the following valid for the squares of the integers greater than 1 and less than 10:<br />$$\{x^2\mid x\in \mathbb{Z}^+ \land 1<x<10\}$$<br /><br />Or, can I not put $$x^2$$ before the pipe and I need to do this?:<br />$$\{x\mid y\in \mathbb{Z}^+ \land 1<y<10\:s.t.\:x=y^2\}$$<br /><br />Or, is there some other way I need to do this?</p>
","ANSWER: <p>both are fine!</p>
"
"QUESTION: For this question, is there a way to denote previous members of the set that you are trying to describe, like x1. This question seems recursive, so not sure how to &#34;access&#34; previous calculated x values in the set if that makes sense.
","ANSWER: <p>You should avoid doing this for sets. This is because sets are an unordered collection of values. For something like sequences (which is something we don&#39;t cover in this class), the elements have order and we can use a recursive definition.</p>
"
"QUESTION: <p></p>
<p>Hi, I&#39;m a bit confused as to how 1a)iv) only has one solution, considering two alternatives seem correct to me: set {a,b,c} or {a,b,d}. They are both proper subsets of {a,b,c,d} and {a,b} can be a proper subset of both of them.</p>
<p>
",
"</p>
<p>
",
"</p>
<p>
",
"</p>
","ANSWER: <p>The question is correct as written. There isn&#39;t too much more I can say without giving away the answer. Be sure that you understand each part of the set given in 1a)iv). It may be helpful to read the problem out loud (essentially converting the math to English) and go from there. </p>
"
"QUESTION: <p></p>
<p>Since the faulty fork will cause people to lose their fingers at 8:59Am what happens if someone uses it after that time?</p>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
<div style=""all:!important""></div>
","ANSWER: <p>I guess they&#39;ll still lose their fingers. But this is something you should not worry about. The pasta eating contest is at 9:00AM, so you must identify the faulty fork before then anyways.</p>
"
"QUESTION: <p>Is 1 considered a prime number in this class?</p>
","ANSWER: <p>Check out the lecture notes (1T) which gives the definition of prime, and see if that helps you reach a conclusion!</p>
"
"QUESTION: <p>Is zero considered a natural number?</p>
","ANSWER: <p>In this class, yes.</p>
"
"QUESTION: <p>
",
"</p>
<p>Hi, I would really appreciate a hint on the method to approach Question 5. </p>
<p>
",
"</p>
","ANSWER: <p>Maybe think about what happens to the total length after a noodle operation.</p>
"
"QUESTION: <p>can we abbreviate &#34;arbitrary but particular&#34; to be &#34;arb but part&#34; or something?</p>
","ANSWER: <p>sure</p>
"
"QUESTION: <p>Do we have to prove that non-integer rationals such as 3/2 or 5/4 are not integers, or can we simply state that they clearly are not integers.</p>
<p></p>
<p>Similarly, do we have to prove whether numbers like 2, 3, or 5 are prime, or can we assume that they are.</p>
","ANSWER: <p>For your first question, a simple one sentence explanation would be nice.</p>
<p></p>
<p>For your second question, you can assume that those are prime.</p>
"
"QUESTION: In one of the lecture problems today where <div>A = {2, 2^2, 2^3,…}</div><div>B = {2, 4, 6, …}</div><div>and we have to prove that A is an improper subset of B,</div><div><br /></div><div>Professor Gandhi’s solution was this:</div><div>Let x be an arb. part. element of A where  x = 2^k </div><div>but then proceeded with: there exists a k belonging to a positive integer, s.t. x = 2*2^(k-1)</div><div><br /></div><div>in order to prove that x = 2l, where l = 2^(k-1) where l is a positive integer</div><div>what makes the “k-1” component necessary? Is setting k as a positive integer greater than but not equal to 1 a valid alternative?</div><div>thank you.</div>
","ANSWER: <p>No, we can&#39;t quite say that $$k > 1$$ because it overlooks the case where $$x = 2$$. Since $$2 \in A$$, it can be possible that we let $$x = 2$$, and in this case, we would have $$k = 1$$. </p>
"
"QUESTION: <p>When we&#39;re given a set in set builder notation such as X = {m ∈ N | m = 11t &#43; 7, for some t ∈ N}, can we directly state that a member, let&#39;s say 7, is  a part of the set or we have to show it?</p>
","ANSWER: Maybe like a one sentence explanation would be nice. Like $$18 \in X$$ because $$18 =11(1) + 7$$
"
"QUESTION: <p>For question 2, will a singular counterexample be sufficient for disproving a statement?</p>
","ANSWER: Yep
"
"QUESTION: <p>In Question 1, I noticed that the two sets involved with the proof uses the same parameter. Are we allowed to change the variable representing the parameter of one of the sets, so our proof is more clear?</p>
<p></p>
<p>For example, in part b, X and Y are both defined in terms of t. If I wanted to define Y in terms of z instead in my proof to make it easier to explain, could I include something like &#34;for the sake of clarity in this proof, we redefine $Y$ as $\{ m\in\mathbb{N} \mid m=12z&#43;6, \text{for some } z \in \mathbb{N} \}&#34;?</p>
","ANSWER: Yeah that’s fine
"
