question,answer
"QUESTION: <p>Currently, my power looks kind of weird. The exponent is too big. I want to denote 2 to the power of 183.</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7ga3way2da7hz%2F3e0baada882c4f635e21482c12c38e4322d28f3315ced89702c2cadd3138adc3%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>You have to use curly braces for the entire power. So it would look like:</p>
<p></p>
<pre>
2^{183}</pre>
"
"QUESTION: <p>Hii I just want to check which symbols in Latex should we use for subset, proper subset, and improper subset</p>
","ANSWER: <p>For subset, use \subseteq. For proper subset, use \subsetneq</p>
"
"QUESTION: <p>Do we need to prove that odd*even = even?</p>
","ANSWER: <p>yes</p>
"
"QUESTION: <p>On the lecture slides there&#39;s a proof that x^3 &#43; 1 is not prime for any integer x &gt; 1. Are we allowed to use this proof (and similar other proven statements) as a given for the homework problems?</p>
","ANSWER: <p>yes, just be sure to cite it when you use it!</p>
"
"QUESTION: <p>Do we need to prove odd&#43;even = odd? It isn&#39;t proved during the video, but odd-even = odd is proved. </p>
","ANSWER: <p>This is rule of thumb P3! So you don&#39;t need to prove it.</p>
"
"QUESTION: <p>Must we prove that an expression of the form 2n&#43;1 is indivisible by 2 for integer n? Or extending it: can we say without proof that kn &#43; 1 is indivisible by k for integers k and n? Thanks!</p>
","ANSWER: <p>For your first question, no, you do not need to prove that. For your second question, a one sentence justification of why this is true would be nice (though be careful when $$k = 1$$). </p>
"
"QUESTION: <p>Do I have to prove that if B is a subset of A, then |A \ B| = |A| - |B|?</p>
","ANSWER: <p>Yes you should justify this</p>
"
"QUESTION: 
","ANSWER: <p>We have not covered this in lecture yet, so you would have to prove it before using it.</p>
"
"QUESTION: <p>I don&#39;t think a formal definition on composites was ever given, but will we need to prove this about composites? (similar to the mathematical definition on primes shown in the lecture slides)</p>
<p></p>
<p>If n is composite then, we can find positive integers r and s such that r, s &gt; 1 and n = rs.</p>
","ANSWER: <p>Yes you can use this for free without justification</p>
"
"QUESTION: <p>Is P(∅) in question 1 b (5) the notation for power sets? I don&#39;t think I saw it on the slides</p>
","ANSWER: Yes it refers to powerset
"
"QUESTION: <p>My TA today said I should look at the recitation solution to see how I should write the homework solution but I can&#39;t see it yet. Is it not up? Also, some of the questions seem very obvious and I feel like the way I&#39;m proving is incorrect. Take #3 (c) for example - I don&#39;t think we went through ways to prove questions like this in class and in recitation too. If I write:</p>
<p></p>
<p>&#34;Let p be a prime number. In this case, p^2 will have p as a factor. Hence, p^2 is composite because it has a factor other than 1 and itself.&#34;</p>
<p></p>
<p>Is this a wrong way to prove this problem? I know that for even/odd problems we can use the form n = 2k&#43;1 or something similar but I am not sure if there are other methods to use when solving prime problems?</p>
","ANSWER: <p>Also, for 3 (b), do I have to prove equation manipulations like x^n&#43;1 = (x&#43;1)(x^n-1 - x^n-2 &#43; x^n-3 - ... - x &#43; 1)??</p>
"
"QUESTION: <p>do I need to prove that p^2 = p * p?</p>
","ANSWER: No
"
"QUESTION: <p>Is it necessary to type of every element of set S, $$S = AX2^{BX2^{C}}$$ in question 4 or can we represent only the parts we need?</p>
","ANSWER: <p>You do not need to list every element of $$S$$.</p>
"
"QUESTION: <p>Do special tickets (ISH &#43; a number section where all digits are the same) still have to follow that the 4-digit number does not begin with a 0 and is even?</p>
","ANSWER: <p>yes</p>
"
